
============================================================
ARM K0
============================================================
  step  650/2500 loss=2.109 acc=0.180 ref=0.223 lit=0.150 read_sup=0.001 | ref_ema=0.160
  step  700/2500 loss=1.121 acc=0.452 ref=0.495 lit=0.419 read_sup=0.004 | ref_ema=0.428
  step  750/2500 loss=0.896 acc=0.559 ref=0.537 lit=0.574 read_sup=0.004 | ref_ema=0.525
  step  800/2500 loss=0.174 acc=0.953 ref=0.926 lit=0.975 read_sup=0.021 | ref_ema=0.820
  step  850/2500 loss=0.081 acc=0.982 ref=0.959 lit=0.998 read_sup=0.001 | ref_ema=0.940
  step  900/2500 loss=0.020 acc=0.995 ref=0.987 lit=1.000 read_sup=0.000 | ref_ema=0.981
  step  950/2500 loss=0.021 acc=0.997 ref=0.997 lit=0.998 read_sup=0.000 | ref_ema=0.989
  step 1000/2500 loss=0.014 acc=0.995 ref=0.987 lit=1.000 read_sup=0.000 | ref_ema=0.993
  step 1050/2500 loss=0.005 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.996
  step 1100/2500 loss=0.012 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1150/2500 loss=0.038 acc=0.996 ref=0.991 lit=1.000 read_sup=0.000 | ref_ema=0.997
  step 1200/2500 loss=0.008 acc=0.996 ref=0.997 lit=0.995 read_sup=0.000 | ref_ema=0.994
  step 1250/2500 loss=0.002 acc=0.999 ref=1.000 lit=0.998 read_sup=0.000 | ref_ema=0.999
  step 1300/2500 loss=0.014 acc=0.997 ref=0.997 lit=0.998 read_sup=0.000 | ref_ema=0.999
  step 1350/2500 loss=0.003 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1400/2500 loss=0.023 acc=0.996 ref=0.994 lit=0.998 read_sup=0.000 | ref_ema=0.993
  step 1450/2500 loss=0.014 acc=0.996 ref=0.994 lit=0.998 read_sup=0.000 | ref_ema=0.995
  step 1500/2500 loss=0.004 acc=0.999 ref=1.000 lit=0.998 read_sup=0.000 | ref_ema=0.997
  step 1550/2500 loss=0.013 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1600/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1650/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1700/2500 loss=0.004 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1750/2500 loss=0.002 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 1800/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1850/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1900/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1950/2500 loss=0.078 acc=0.993 ref=0.987 lit=0.998 read_sup=0.000 | ref_ema=0.998
  step 2000/2500 loss=0.004 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 2050/2500 loss=0.002 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 2100/2500 loss=0.023 acc=0.990 ref=0.994 lit=0.987 read_sup=0.000 | ref_ema=0.996
  step 2150/2500 loss=0.012 acc=0.995 ref=0.991 lit=0.998 read_sup=0.000 | ref_ema=0.993
  step 2200/2500 loss=0.004 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step 2250/2500 loss=0.002 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.999
  step 2300/2500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2350/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2400/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2450/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 2500/2500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
[arm K2] lit_acc=1.000 ref_acc=1.000 (chance 0.10) delay={1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0}
    layer γ=0.0: Δ1:0.10, Δ2:0.13, Δ3:0.14, Δ4:0.03
    layer γ=0.7: Δ1:0.27, Δ2:0.10, Δ3:0.09, Δ4:0.11
    layer γ=0.95: Δ1:0.33, Δ2:0.14, Δ3:0.09, Δ4:0.06
    layer γ=0.99: Δ1:1.00, Δ2:1.00, Δ3:1.00, Δ4:1.00

wrote agi_demo/outputs/kernel/session_hebbian/metrics.json
wrote figures to agi_demo/outputs/kernel/session_hebbian/

============================================================
SUMMARY (session)
============================================================
arm K0: ref_acc=0.10 lit_acc=0.10 (chance 0.10)
arm K1: ref_acc=1.00 lit_acc=1.00 (chance 0.10)
arm K2: ref_acc=1.00 lit_acc=1.00 (chance 0.10)
Reading: K1/K2 ref_acc >> chance ⇒ the native kernel USES memory (Proj-3 got 0.10). K0 (read severed) ≈ chance ⇒ it's the associative READ that matters.
